smiles,true_pka_pairs,pred_pka_pairs
['CSCC[C@H](NC(=O)CN)C(O)=O'],"[(9, 8.350000381469727), (11, 3.0199999809265137)]","[(9, -4.143666744232178), (11, -18.141429901123047)]"
['OC(=O)c1cc(cc(Br)c1O)[S](O)(=O)=O'],"[(0, 2.0199999809265137), (10, 10.5)]","[(0, -3.9630253314971924), (10, -14.562055587768555)]"
['CC(C)[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O'],"[(4, 7.46999979019165), (13, 10.0), (15, 3.0999999046325684)]","[(4, -1.5946686267852783), (13, -25.198291778564453), (15, -43.80818557739258)]"
['CCc1ccccn1'],"[(7, 6.039999961853027)]","[(7, -0.4141692519187927)]"
['CCOC(=O)CNC(=O)CN'],"[(10, 7.730000019073486)]","[(10, -0.389024019241333)]"
['NCCC(N)=O'],"[(0, 9.199999809265137)]","[(0, -0.19421568512916565)]"
['OC(=O)Cc1cccc(c1)[N+]([O-])=O'],"[(0, 3.9700000286102295)]","[(0, -0.46472907066345215)]"
['CCOc1ccccc1N'],"[(9, 4.480000019073486)]","[(9, -0.4610551595687866)]"
['O=C1CCNCCNC(=O)CC(=O)NCCN1'],"[(4, 8.109999656677246)]","[(4, -0.6659217476844788)]"
['NCC(=O)NCC(=O)NCC(O)=O'],"[(0, 8.100000381469727), (11, 3.299999952316284)]","[(0, -1.1426525115966797), (11, -4.955399990081787)]"
['OC(=O)COc1ccccc1Br'],"[(0, 3.119999885559082)]","[(0, -0.1877751499414444)]"
['OC(=O)COc1cccc(c1)C#N'],"[(0, 3.0299999713897705)]","[(0, -0.47347313165664673)]"
['N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)NCC(=O)NCC(O)=O'],"[(0, 7.96999979019165), (5, 3.0899999141693115), (30, 4.199999809265137)]","[(0, -14.730756759643555), (5, -19.210803985595703), (30, -86.39134216308594)]"
['NCCc1cccc(O)c1'],"[(0, 10.390000343322754), (8, 9.3100004196167)]","[(0, -1.6007795333862305), (8, -1.6955355405807495)]"
['s1cccc1c2ccccn2'],"[(10, 3.690000057220459)]","[(10, -0.7392190098762512)]"
['Ic1cccnc1'],"[(5, 3.3499999046325684)]","[(5, -1.0579566955566406)]"
['OC(Cc1ccccn1)c2ccccc2'],"[(8, 5.199999809265137)]","[(8, -1.1501579284667969)]"
['Sc1ccccc1Br'],"[(0, 5.659999847412109)]","[(0, -0.24710692465305328)]"
['CC(C)C[C@H](N)C(=O)NCC(O)=O'],"[(5, 8.0600004196167), (11, 3.0899999141693115)]","[(5, -4.050998210906982), (11, 0.14369739592075348)]"
['Oc1cccc(Br)c1'],"[(0, 8.890000343322754)]","[(0, -0.7749931216239929)]"
['CC(=O)CCCC(O)=O'],"[(7, 4.659999847412109)]","[(7, -0.6379201412200928)]"
['CC(C)[C@H](N)C(O)=O'],"[(4, 9.550000190734863), (6, 2.2899999618530273)]","[(4, -6.000895023345947), (6, -0.315917432308197)]"
['Cc1ccc(cc1)[S](=O)(=O)NCCN(CC(O)=O)CC(O)=O'],"[(10, 7.860000133514404), (16, 2.1500000953674316)]","[(10, -9.313774108886719), (16, -7.376060485839844)]"
['NCC=C'],"[(0, 9.520000457763672)]","[(0, -0.48692578077316284)]"
['NCCCSCCN'],"[(0, 9.15999984741211), (7, 10.140000343322754)]","[(0, -1.2375329732894897), (7, -2.1031322479248047)]"
['CC(=O)NO'],"[(4, 9.180000305175781)]","[(4, -0.41065138578414917)]"
['NCCCC[C@@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CC(O)=O)C(O)=O'],"[(0, 7.389999866485596), (10, 10.449999809265137), (24, 2.7799999713897705), (27, 4.070000171661377)]","[(0, -34.349544525146484), (10, -364.8304748535156), (24, -899.2269897460938), (27, -688.0387573242188)]"
['C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1)C(O)=O'],"[(19, 8.369999885559082), (21, 3.0999999046325684)]","[(19, -16.743350982666016), (21, -4.955598831176758)]"
['CN1N(c2ccccc2)C(=O)C(=C1C)N'],"[(14, 4.230000019073486)]","[(14, -0.8923887610435486)]"
['OC(=O)C(O)(c1ccccc1)c2ccccc2'],"[(0, 2.880000114440918)]","[(0, -0.4914211630821228)]"
['CSc1cccc2cccnc12'],"[(10, 3.4200000762939453)]","[(10, -1.1039624214172363)]"
['OC(=O)c1ccc(cc1)C(O)=O'],"[(0, 3.4800000190734863), (10, 4.320000171661377)]","[(0, -2.27858567237854), (10, -0.00956253707408905)]"
['OC(=O)CCNc1ccccc1'],"[(0, 3.4000000953674316), (5, 9.0)]","[(0, -2.7722198963165283), (5, -7.73417854309082)]"
['OC(=O)c1ccccc1F'],"[(0, 3.4700000286102295)]","[(0, -0.3845343589782715)]"
['NC(=O)CCCc1ccccn1'],"[(11, 5.480000019073486)]","[(11, -0.8815346360206604)]"
['C[C@@H](N)C(=O)N[C@H](C)C(=O)N[C@H](C)C(O)=O'],"[(2, 7.949999809265137), (14, 3.2799999713897705)]","[(2, -4.626625061035156), (14, -14.466894149780273)]"
['Brc1cccnc1'],"[(5, 2.9800000190734863)]","[(5, -1.0570549964904785)]"
['CN1CCN(C)CCN(C)CCN(C)CC1'],"[(1, 8.949999809265137), (4, 10.069999694824219)]","[(1, -4.2360639572143555), (4, -5.708939075469971)]"
['Oc1ccc(c2cccnc12)[N+]([O-])=O'],"[(0, 2.509999990463257), (9, 6.360000133514404)]","[(0, -7.566793441772461), (9, -10.774786949157715)]"
['N(c1ccccn1)c2ccccn2'],"[(0, 7.079999923706055)]","[(0, -0.6631632447242737)]"
['Oc1cccc(I)c1'],"[(0, 8.890000343322754)]","[(0, -0.8696810007095337)]"
['NCCOCCSCCN'],"[(0, 8.680000305175781), (9, 9.609999656677246)]","[(0, -0.713870644569397), (9, 0.38370370864868164)]"
['OC(=O)C[Se]c1ccccc1'],"[(0, 3.640000104904175)]","[(0, -0.6608502268791199)]"
['OC(=O)CC(CC(O)=O)C(O)=O'],"[(0, 3.4600000381469727), (7, 4.480000019073486), (10, 5.659999847412109)]","[(0, -5.539391994476318), (7, -6.503612995147705), (10, -29.766565322875977)]"
['Cc1ccc(C)nc1'],"[(6, 6.5)]","[(6, -0.9833436608314514)]"
['OC(=O)CN(CC(O)=O)c1ccccc1[S](O)(=O)=O'],"[(0, 3.4000000953674316), (7, 6.289999961853027)]","[(0, -1.7690467834472656), (7, -6.930422306060791)]"
['NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N2CCC[C@H]2C(=O)NCC(O)=O'],"[(0, 8.359999656677246), (25, 3.309999942779541)]","[(0, -0.4887881875038147), (25, -4.445968151092529)]"
['NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)CN)C(O)=O'],"[(0, 8.029999732971191), (21, 9.880000114440918), (23, 3.190000057220459)]","[(0, -2.341477155685425), (21, -18.3270206451416), (23, -17.22528076171875)]"
['CC(C)(O)C(O)=O'],"[(5, 3.8499999046325684)]","[(5, -0.8056386709213257)]"
