smiles,true_pka_pairs,pred_pka_pairs
['CSCC[C@H](NC(=O)CN)C(O)=O'],"[(9, 8.350000381469727), (11, 3.0199999809265137)]","[(9, 9.402689933776855), (11, 3.02018404006958)]"
['OC(=O)c1cc(cc(Br)c1O)[S](O)(=O)=O'],"[(0, 2.0199999809265137), (10, 10.5)]","[(0, 3.1219937801361084), (10, 8.085267066955566)]"
['CC(C)[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O'],"[(4, 7.46999979019165), (13, 10.0), (15, 3.0999999046325684)]","[(4, 8.206592559814453), (13, 8.386554718017578), (15, 2.864457368850708)]"
['CCc1ccccn1'],"[(7, 6.039999961853027)]","[(7, 4.991606712341309)]"
['CCOC(=O)CNC(=O)CN'],"[(10, 7.730000019073486)]","[(10, 8.705507278442383)]"
['NCCC(N)=O'],"[(0, 9.199999809265137)]","[(0, 9.315186500549316)]"
['OC(=O)Cc1cccc(c1)[N+]([O-])=O'],"[(0, 3.9700000286102295)]","[(0, 3.1219937801361084)]"
['CCOc1ccccc1N'],"[(9, 4.480000019073486)]","[(9, 4.434710502624512)]"
['O=C1CCNCCNC(=O)CC(=O)NCCN1'],"[(4, 8.109999656677246)]","[(4, 9.103261947631836)]"
['NCC(=O)NCC(=O)NCC(O)=O'],"[(0, 8.100000381469727), (11, 3.299999952316284)]","[(0, 8.398490905761719), (11, 3.6975295543670654)]"
['OC(=O)COc1ccccc1Br'],"[(0, 3.119999885559082)]","[(0, 3.1219937801361084)]"
['OC(=O)COc1cccc(c1)C#N'],"[(0, 3.0299999713897705)]","[(0, 3.1219937801361084)]"
['N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)NCC(=O)NCC(O)=O'],"[(0, 7.96999979019165), (5, 3.0899999141693115), (30, 4.199999809265137)]","[(0, 8.440185546875), (5, 3.92205548286438), (30, 3.3217010498046875)]"
['NCCc1cccc(O)c1'],"[(0, 10.390000343322754), (8, 9.3100004196167)]","[(0, 9.315186500549316), (8, 9.347643852233887)]"
['s1cccc1c2ccccn2'],"[(10, 3.690000057220459)]","[(10, 4.670623779296875)]"
['Ic1cccnc1'],"[(5, 3.3499999046325684)]","[(5, 5.188022613525391)]"
