smiles,true_pka_pairs,pred_pka_pairs
['CSCC[C@H](NC(=O)CN)C(O)=O'],"[(9, 8.350000381469727), (11, 3.0199999809265137)]","[(9, 13.36845874786377), (11, 8.247892379760742)]"
['OC(=O)c1cc(cc(Br)c1O)[S](O)(=O)=O'],"[(0, 2.0199999809265137), (10, 10.5)]","[(0, 8.930312156677246), (10, 11.94233226776123)]"
['CC(C)[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O'],"[(4, 7.46999979019165), (13, 10.0), (15, 3.0999999046325684)]","[(4, 11.730822563171387), (13, 11.731764793395996), (15, 11.074853897094727)]"
['CCc1ccccn1'],"[(7, 6.039999961853027)]","[(7, 6.896450042724609)]"
['CCOC(=O)CNC(=O)CN'],"[(10, 7.730000019073486)]","[(10, 9.7109375)]"
['NCCC(N)=O'],"[(0, 9.199999809265137)]","[(0, 10.474925994873047)]"
['OC(=O)Cc1cccc(c1)[N+]([O-])=O'],"[(0, 3.9700000286102295)]","[(0, 6.2569427490234375)]"
['CCOc1ccccc1N'],"[(9, 4.480000019073486)]","[(9, 6.238397598266602)]"
['O=C1CCNCCNC(=O)CC(=O)NCCN1'],"[(4, 8.109999656677246)]","[(4, 10.944729804992676)]"
['NCC(=O)NCC(=O)NCC(O)=O'],"[(0, 8.100000381469727), (11, 3.299999952316284)]","[(0, 12.695832252502441), (11, 8.522560119628906)]"
['OC(=O)COc1ccccc1Br'],"[(0, 3.119999885559082)]","[(0, 6.258313179016113)]"
['OC(=O)COc1cccc(c1)C#N'],"[(0, 3.0299999713897705)]","[(0, 6.258313179016113)]"
['N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)NCC(=O)NCC(O)=O'],"[(0, 7.96999979019165), (5, 3.0899999141693115), (30, 4.199999809265137)]","[(0, 9.005841255187988), (5, 10.183821678161621), (30, 11.513111114501953)]"
['NCCc1cccc(O)c1'],"[(0, 10.390000343322754), (8, 9.3100004196167)]","[(0, 14.281042098999023), (8, 10.2429838180542)]"
['s1cccc1c2ccccn2'],"[(10, 3.690000057220459)]","[(10, 7.109600067138672)]"
['Ic1cccnc1'],"[(5, 3.3499999046325684)]","[(5, 6.974421977996826)]"
['OC(Cc1ccccn1)c2ccccc2'],"[(8, 5.199999809265137)]","[(8, 6.68692684173584)]"
['Sc1ccccc1Br'],"[(0, 5.659999847412109)]","[(0, 10.544620513916016)]"
['CC(C)C[C@H](N)C(=O)NCC(O)=O'],"[(5, 8.0600004196167), (11, 3.0899999141693115)]","[(5, 12.067267417907715), (11, 8.502275466918945)]"
['Oc1cccc(Br)c1'],"[(0, 8.890000343322754)]","[(0, 9.787984848022461)]"
['CC(=O)CCCC(O)=O'],"[(7, 4.659999847412109)]","[(7, 6.07664680480957)]"
['CC(C)[C@H](N)C(O)=O'],"[(4, 9.550000190734863), (6, 2.2899999618530273)]","[(4, 12.630812644958496), (6, 8.958839416503906)]"
['Cc1ccc(cc1)[S](=O)(=O)NCCN(CC(O)=O)CC(O)=O'],"[(10, 7.860000133514404), (16, 2.1500000953674316)]","[(10, 8.270831108093262), (16, 9.418068885803223)]"
['NCC=C'],"[(0, 9.520000457763672)]","[(0, 10.269186973571777)]"
['NCCCSCCN'],"[(0, 9.15999984741211), (7, 10.140000343322754)]","[(0, 12.880593299865723), (7, 15.034876823425293)]"
['CC(=O)NO'],"[(4, 9.180000305175781)]","[(4, 11.8089599609375)]"
['NCCCC[C@@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CC(O)=O)C(O)=O'],"[(0, 7.389999866485596), (10, 10.449999809265137), (24, 2.7799999713897705), (27, 4.070000171661377)]","[(0, 14.252047538757324), (10, 11.018427848815918), (24, 12.55915641784668), (27, 14.865096092224121)]"
['C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1)C(O)=O'],"[(19, 8.369999885559082), (21, 3.0999999046325684)]","[(19, 11.885119438171387), (21, 9.069028854370117)]"
['CN1N(c2ccccc2)C(=O)C(=C1C)N'],"[(14, 4.230000019073486)]","[(14, 6.17101526260376)]"
['OC(=O)C(O)(c1ccccc1)c2ccccc2'],"[(0, 2.880000114440918)]","[(0, 6.272638320922852)]"
['CSc1cccc2cccnc12'],"[(10, 3.4200000762939453)]","[(10, 6.870776653289795)]"
['OC(=O)c1ccc(cc1)C(O)=O'],"[(0, 3.4800000190734863), (10, 4.320000171661377)]","[(0, 8.936315536499023), (10, 7.559844970703125)]"
['OC(=O)CCNc1ccccc1'],"[(0, 3.4000000953674316), (5, 9.0)]","[(0, 8.979158401489258), (5, 10.827007293701172)]"
['OC(=O)c1ccccc1F'],"[(0, 3.4700000286102295)]","[(0, 6.247629165649414)]"
['NC(=O)CCCc1ccccn1'],"[(11, 5.480000019073486)]","[(11, 6.798394203186035)]"
['C[C@@H](N)C(=O)N[C@H](C)C(=O)N[C@H](C)C(O)=O'],"[(2, 7.949999809265137), (14, 3.2799999713897705)]","[(2, 12.318594932556152), (14, 9.289497375488281)]"
['Brc1cccnc1'],"[(5, 2.9800000190734863)]","[(5, 7.073779106140137)]"
['CN1CCN(C)CCN(C)CCN(C)CC1'],"[(1, 8.949999809265137), (4, 10.069999694824219)]","[(1, 12.667840003967285), (4, 14.468281745910645)]"
['Oc1ccc(c2cccnc12)[N+]([O-])=O'],"[(0, 2.509999990463257), (9, 6.360000133514404)]","[(0, 9.942389488220215), (9, 6.838052272796631)]"
['N(c1ccccn1)c2ccccn2'],"[(0, 7.079999923706055)]","[(0, 9.405401229858398)]"
['Oc1cccc(I)c1'],"[(0, 8.890000343322754)]","[(0, 9.785466194152832)]"
['NCCOCCSCCN'],"[(0, 8.680000305175781), (9, 9.609999656677246)]","[(0, 12.864066123962402), (9, 15.035910606384277)]"
['OC(=O)C[Se]c1ccccc1'],"[(0, 3.640000104904175)]","[(0, 6.259543418884277)]"
['OC(=O)CC(CC(O)=O)C(O)=O'],"[(0, 3.4600000381469727), (7, 4.480000019073486), (10, 5.659999847412109)]","[(0, 11.091778755187988), (7, 10.644320487976074), (10, 7.331272125244141)]"
['Cc1ccc(C)nc1'],"[(6, 6.5)]","[(6, 7.0196757316589355)]"
['OC(=O)CN(CC(O)=O)c1ccccc1[S](O)(=O)=O'],"[(0, 3.4000000953674316), (7, 6.289999961853027)]","[(0, 8.981109619140625), (7, 7.800882816314697)]"
['NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N2CCC[C@H]2C(=O)NCC(O)=O'],"[(0, 8.359999656677246), (25, 3.309999942779541)]","[(0, 12.760601997375488), (25, 8.078900337219238)]"
['NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)CN)C(O)=O'],"[(0, 8.029999732971191), (21, 9.880000114440918), (23, 3.190000057220459)]","[(0, 13.447163581848145), (21, 11.272156715393066), (23, 10.921270370483398)]"
['CC(C)(O)C(O)=O'],"[(5, 3.8499999046325684)]","[(5, 6.072268486022949)]"
['C[C@](N)(CCC(O)=O)C(O)=O'],"[(2, 9.720000267028809), (6, 4.050000190734863)]","[(2, 12.879472732543945), (6, 8.562241554260254)]"
['OC(=O)Cc1ccc(cc1)[N+]([O-])=O'],"[(0, 3.8499999046325684)]","[(0, 6.2569427490234375)]"
['CCC[C@H](N)C(O)=O'],"[(4, 9.779999732971191), (6, 2.319999933242798)]","[(4, 12.069934844970703), (6, 8.59707260131836)]"
