Metal ion,Ligand,Formula,Ligand class,Equilibrium,Temperature (C),Ionic strength,Value type,Value,Note,SMILES,max_eq_num,AcidCount,AmineCount,PhenolCount,PyridineCount,MonoPhosphateCount,ImidazoleNHCount,CyclicAmineCount,Ligand_class_id,molecular_weight,HBD,HBA,logP,TPSA
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],25,0.1,Log K,9.57,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],37,0.15,Log K,9.25,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],25,0.5,Log K,9.54,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],25,0.7,Log K,9.59,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],25,1.0,Log K,9.66,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],25,2.0,Log K,9.8,KNO₃ used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],25,2.0,Log K,9.82,NaClO₄ used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],25,3.0,Log K,9.93,LiClO₄ used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],25,3.0,Log K,10.07,KCl used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],25,3.0,Log K,10.2,NaClO₄ used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],10,0.0,Log K,10.198,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],25,0.0,Log K,9.778,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[HL]/[L][H],40,0.0,Log K,9.41,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,0.1,Log K,2.33,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],37,0.15,Log K,2.33,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,0.5,Log K,2.39,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,0.7,Log K,2.4,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,1.0,Log K,2.44,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,2.0,Log K,2.51,NaCl used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,2.0,Log K,2.57,KNO₃ used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,2.0,Log K,2.61,NaClO₄ used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,3.0,Log K,2.63,NaCl used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,3.0,Log K,2.69,LiClO₄ used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,3.0,Log K,2.71,KCl used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,3.0,Log K,2.79,NaClO₄ used as background electrolyte.,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],10,0.0,Log K,2.401,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],25,0.0,Log K,2.35,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,Aminoacetic acid (Glycine),C2H5N1O2,Amino Acids,[H₂L]/[HL][H],40,0.0,Log K,2.323,,NCC(O)=O,2,1,1,0,0,0,0,0,0,75.067,2,2,-0.9703,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],25,0.1,Log K,9.71,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],37,0.15,Log K,9.4,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],25,0.5,Log K,9.67,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],25,1.0,Log K,9.71,,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],25,2.0,Log K,9.87,NaClO₄ used as background electrolyte.,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
H⁺,L-2-Aminopropanoic acid (Alanine),C3H7N1O2,Amino Acids,[HL]/[L][H],25,3.0,Log K,10.2,KCl used as background electrolyte.,C[C@H](N)C(O)=O,2,1,1,0,0,0,0,0,0,89.094,2,2,-0.5818,63.32
