Metal ion,Ligand,Formula,Ligand class,Equilibrium,Temperature (C),Ionic strength,Value type,Value,Note,SMILES,max_eq_num,AcidCount,AmineCount,PhenolCount,PyridineCount,MonoPhosphateCount,ImidazoleNHCount,CyclicAmineCount,Ligand_class_id,molecular_weight,HBD,HBA,logP,TPSA
H⁺,"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)",C8H16N2O4S2,Amino Acids,[HL]/[L][H],25,0.1,Log K,11.14,K⁺ salt used as background electrolyte.,OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,5,2,0,0,0,0,0,0,0,268.36,6,6,-1.0684,98.66
H⁺,"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)",C8H16N2O4S2,Amino Acids,[H₂L]/[HL][H],25,0.1,Log K,9.88,,OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,5,2,0,0,0,0,0,0,0,268.36,6,6,-1.0684,98.66
H⁺,"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)",C8H16N2O4S2,Amino Acids,[H₃L]/[H₂L][H],25,0.1,Log K,7.91,,OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,5,2,0,0,0,0,0,0,0,268.36,6,6,-1.0684,98.66
H⁺,"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)",C8H16N2O4S2,Amino Acids,[H₄L]/[H₃L][H],25,0.1,Log K,5.4,,OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,5,2,0,0,0,0,0,0,0,268.36,6,6,-1.0684,98.66
H⁺,"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)",C8H16N2O4S2,Amino Acids,[H₅L]/[H₄L][H],25,0.1,Log K,1.7,,OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,5,2,0,0,0,0,0,0,0,268.36,6,6,-1.0684,98.66
H⁺,L-Aspartyl-L-aspartyl-L-aspartic acid,C12H19N3O10,tripeptides,[HL]/[L][H],25,0.1,Log K,8.13,,N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,5,4,1,0,0,0,0,0,4,363.279,7,7,-3.208,233.42
H⁺,L-Aspartyl-L-aspartyl-L-aspartic acid,C12H19N3O10,tripeptides,[H₂L]/[HL][H],25,0.1,Log K,4.78,,N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,5,4,1,0,0,0,0,0,4,363.279,7,7,-3.208,233.42
H⁺,L-Aspartyl-L-aspartyl-L-aspartic acid,C12H19N3O10,tripeptides,[H₃L]/[H₂L][H],25,0.1,Log K,3.87,,N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,5,4,1,0,0,0,0,0,4,363.279,7,7,-3.208,233.42
H⁺,L-Aspartyl-L-aspartyl-L-aspartic acid,C12H19N3O10,tripeptides,[H₄L]/[H₃L][H],25,0.1,Log K,2.04,,N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,5,4,1,0,0,0,0,0,4,363.279,7,7,-3.208,233.42
H⁺,L-Aspartyl-L-aspartyl-L-aspartic acid,C12H19N3O10,tripeptides,[H₅L]/[H₄L][H],25,0.1,Log K,1.8,,N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,5,4,1,0,0,0,0,0,4,363.279,7,7,-3.208,233.42
