SMILES,pKa,Dissociable_Atoms,Functional_Group,Name,Dissociable_Atoms_Ordered,Functional_Group_Ordered,Dissociation_Order
OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,11.14,0:14:6:9:5,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary:thiol,"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)",0:14:5:6:9,carboxylic_acid:carboxylic_acid:thiol:amine_secondary:amine_secondary,0(carboxylic_acid) > 14(carboxylic_acid) > 5(thiol) > 6(amine_secondary) > 9(amine_secondary)
OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,9.88,0:14:6:9:5,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary:thiol,"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)",0:14:5:6:9,carboxylic_acid:carboxylic_acid:thiol:amine_secondary:amine_secondary,0(carboxylic_acid) > 14(carboxylic_acid) > 5(thiol) > 6(amine_secondary) > 9(amine_secondary)
OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,7.91,0:14:6:9:5,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary:thiol,"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)",0:14:5:6:9,carboxylic_acid:carboxylic_acid:thiol:amine_secondary:amine_secondary,0(carboxylic_acid) > 14(carboxylic_acid) > 5(thiol) > 6(amine_secondary) > 9(amine_secondary)
OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,5.4,0:14:6:9:5,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary:thiol,"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)",0:14:5:6:9,carboxylic_acid:carboxylic_acid:thiol:amine_secondary:amine_secondary,0(carboxylic_acid) > 14(carboxylic_acid) > 5(thiol) > 6(amine_secondary) > 9(amine_secondary)
OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,1.7,0:14:6:9:5,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary:thiol,"L,L-Ethylenediimino-2,2'-bis(mercaptomethyl)acetic acid (N,N'-Ethylenedi-L-cysteine)",0:14:5:6:9,carboxylic_acid:carboxylic_acid:thiol:amine_secondary:amine_secondary,0(carboxylic_acid) > 14(carboxylic_acid) > 5(thiol) > 6(amine_secondary) > 9(amine_secondary)
N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,8.13,4:12:20:23:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid:amine_primary,L-Aspartyl-L-aspartyl-L-aspartic acid,4:12:20:23:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid:amine_primary,4(carboxylic_acid) > 12(carboxylic_acid) > 20(carboxylic_acid) > 23(carboxylic_acid) > 0(amine_primary)
N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,4.78,4:12:20:23:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid:amine_primary,L-Aspartyl-L-aspartyl-L-aspartic acid,4:12:20:23:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid:amine_primary,4(carboxylic_acid) > 12(carboxylic_acid) > 20(carboxylic_acid) > 23(carboxylic_acid) > 0(amine_primary)
N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,3.87,4:12:20:23:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid:amine_primary,L-Aspartyl-L-aspartyl-L-aspartic acid,4:12:20:23:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid:amine_primary,4(carboxylic_acid) > 12(carboxylic_acid) > 20(carboxylic_acid) > 23(carboxylic_acid) > 0(amine_primary)
N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,2.04,4:12:20:23:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid:amine_primary,L-Aspartyl-L-aspartyl-L-aspartic acid,4:12:20:23:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid:amine_primary,4(carboxylic_acid) > 12(carboxylic_acid) > 20(carboxylic_acid) > 23(carboxylic_acid) > 0(amine_primary)
N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,1.8,4:12:20:23:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid:amine_primary,L-Aspartyl-L-aspartyl-L-aspartic acid,4:12:20:23:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid:amine_primary,4(carboxylic_acid) > 12(carboxylic_acid) > 20(carboxylic_acid) > 23(carboxylic_acid) > 0(amine_primary)
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc3ccc(O)cc3)C(O)=O,10.92,35:0:12:24:7,carboxylic_acid:amine_primary:amine_secondary:amine_secondary:phenol,L-Tyrosyl-L-tyrosyl-L-tyrosine,35:7:0:12:24,carboxylic_acid:phenol:amine_primary:amine_secondary:amine_secondary,35(carboxylic_acid) > 7(phenol) > 0(amine_primary) > 12(amine_secondary) > 24(amine_secondary)
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc3ccc(O)cc3)C(O)=O,9.95,35:0:12:24:7,carboxylic_acid:amine_primary:amine_secondary:amine_secondary:phenol,L-Tyrosyl-L-tyrosyl-L-tyrosine,35:7:0:12:24,carboxylic_acid:phenol:amine_primary:amine_secondary:amine_secondary,35(carboxylic_acid) > 7(phenol) > 0(amine_primary) > 12(amine_secondary) > 24(amine_secondary)
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc3ccc(O)cc3)C(O)=O,9.56,35:0:12:24:7,carboxylic_acid:amine_primary:amine_secondary:amine_secondary:phenol,L-Tyrosyl-L-tyrosyl-L-tyrosine,35:7:0:12:24,carboxylic_acid:phenol:amine_primary:amine_secondary:amine_secondary,35(carboxylic_acid) > 7(phenol) > 0(amine_primary) > 12(amine_secondary) > 24(amine_secondary)
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc3ccc(O)cc3)C(O)=O,7.22,35:0:12:24:7,carboxylic_acid:amine_primary:amine_secondary:amine_secondary:phenol,L-Tyrosyl-L-tyrosyl-L-tyrosine,35:7:0:12:24,carboxylic_acid:phenol:amine_primary:amine_secondary:amine_secondary,35(carboxylic_acid) > 7(phenol) > 0(amine_primary) > 12(amine_secondary) > 24(amine_secondary)
