SMILES,pKa,Dissociable_Atoms,Functional_Group,Name,Dissociable_Atoms_Ordered,Functional_Group_Ordered,Dissociation_Order
NC(C(O)=O)C(O)=O,9.22,0:3:6,amine_primary:carboxylic_acid:carboxylic_acid,Aminopropanedioic acid (Aminomalonic acid),3:6:0,carboxylic_acid:carboxylic_acid:amine_primary,3(carboxylic_acid) > 6(carboxylic_acid) > 0(amine_primary)
NC(C(O)=O)C(O)=O,9.83,0:3:6,amine_primary:carboxylic_acid:carboxylic_acid,Aminopropanedioic acid (Aminomalonic acid),3:6:0,carboxylic_acid:carboxylic_acid:amine_primary,3(carboxylic_acid) > 6(carboxylic_acid) > 0(amine_primary)
NC(C(O)=O)C(O)=O,2.94,0:3:6,amine_primary:carboxylic_acid:carboxylic_acid,Aminopropanedioic acid (Aminomalonic acid),3:6:0,carboxylic_acid:carboxylic_acid:amine_primary,3(carboxylic_acid) > 6(carboxylic_acid) > 0(amine_primary)
NC(C(O)=O)C(O)=O,3.32,0:3:6,amine_primary:carboxylic_acid:carboxylic_acid,Aminopropanedioic acid (Aminomalonic acid),3:6:0,carboxylic_acid:carboxylic_acid:amine_primary,3(carboxylic_acid) > 6(carboxylic_acid) > 0(amine_primary)
NC(C(O)=O)C(O)=O,1.8,0:3:6,amine_primary:carboxylic_acid:carboxylic_acid,Aminopropanedioic acid (Aminomalonic acid),3:6:0,carboxylic_acid:carboxylic_acid:amine_primary,3(carboxylic_acid) > 6(carboxylic_acid) > 0(amine_primary)
N[C@@H](CC(O)=O)C(O)=O,9.66,0:4:8,amine_primary:carboxylic_acid:carboxylic_acid,L-Aminobutanedioic acid (Aspartic acid),4:8:0,carboxylic_acid:carboxylic_acid:amine_primary,4(carboxylic_acid) > 8(carboxylic_acid) > 0(amine_primary)
N[C@@H](CC(O)=O)C(O)=O,9.33,0:4:8,amine_primary:carboxylic_acid:carboxylic_acid,L-Aminobutanedioic acid (Aspartic acid),4:8:0,carboxylic_acid:carboxylic_acid:amine_primary,4(carboxylic_acid) > 8(carboxylic_acid) > 0(amine_primary)
N[C@@H](CC(O)=O)C(O)=O,9.58,0:4:8,amine_primary:carboxylic_acid:carboxylic_acid,L-Aminobutanedioic acid (Aspartic acid),4:8:0,carboxylic_acid:carboxylic_acid:amine_primary,4(carboxylic_acid) > 8(carboxylic_acid) > 0(amine_primary)
N[C@@H](CC(O)=O)C(O)=O,9.61,0:4:8,amine_primary:carboxylic_acid:carboxylic_acid,L-Aminobutanedioic acid (Aspartic acid),4:8:0,carboxylic_acid:carboxylic_acid:amine_primary,4(carboxylic_acid) > 8(carboxylic_acid) > 0(amine_primary)
N[C@@H](CC(O)=O)C(O)=O,9.76,0:4:8,amine_primary:carboxylic_acid:carboxylic_acid,L-Aminobutanedioic acid (Aspartic acid),4:8:0,carboxylic_acid:carboxylic_acid:amine_primary,4(carboxylic_acid) > 8(carboxylic_acid) > 0(amine_primary)
