SMILES,pKa,Dissociable_Atoms,Functional_Group,Name,Dissociable_Atoms_Ordered,Functional_Group_Ordered,Dissociation_Order
COC(=O)C[C@H](N)C([O-])=O,8.5,8,carboxylic_acid,L-2-Aminobutanedioic acid 4-methyl ester (4-Methyl aspartate),8,carboxylic_acid,8(carboxylic_acid)
OC(=O)CN(CCOc1ccccc1)CC(O)=O,8.38,7,tertiary_amine,N-(2-Phenoxyethyl)iminodiacetic acid,7,tertiary_amine,7(tertiary_amine)
OC(=O)CN(CC(O)=O)CC(=O)c1ccccc1,7.89,7,tertiary_amine,N-(Benzoylmethyl)iminodiacetic acid,7,tertiary_amine,7(tertiary_amine)
OC(=O)CN(CC(O)=O)CC(=O)c1ccccc1,7.91,7,tertiary_amine,N-(Benzoylmethyl)iminodiacetic acid,7,tertiary_amine,7(tertiary_amine)
OC(=O)CN(CC(O)=O)CC(=O)c1ccccc1,1.9,7,tertiary_amine,N-(Benzoylmethyl)iminodiacetic acid,7,tertiary_amine,7(tertiary_amine)
OC(=O)CN(CC(O)=O)CC(=O)c1ccccc1,1.7,7,tertiary_amine,N-(Benzoylmethyl)iminodiacetic acid,7,tertiary_amine,7(tertiary_amine)
OC(=O)CN(CC(O)=O)CC(=O)c1ccccc1,1.1,7,tertiary_amine,N-(Benzoylmethyl)iminodiacetic acid,7,tertiary_amine,7(tertiary_amine)
CC(C)C[C@H](NC(=O)CNC(=O)CN)C(O)=O,7.9,15,carboxylic_acid,Glycylglycyl-L-leucine,15,carboxylic_acid,15(carboxylic_acid)
CC(C)C[C@H](NC(=O)CN)C(=O)NCC(O)=O,7.95,15,carboxylic_acid,Glycyl-L-leucylglycine,15,carboxylic_acid,15(carboxylic_acid)
CN(CC(=O)NCC(O)=O)C(=O)CN,8.23,1,tertiary_amine,Glycylsarcosylglycine,1,tertiary_amine,1(tertiary_amine)
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,9.08,12,carboxylic_acid,L-5-Glutamyl-(S-methyl-L-cysteinyl)glycine (S-methylglutathione),12,carboxylic_acid,12(carboxylic_acid)
NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(O)=O,8.33,7,tertiary_amine,Glycyl-L-prolylglycyl-L-phenylalanine,7,tertiary_amine,7(tertiary_amine)
NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(O)=O,8.29,7,tertiary_amine,Glycyl-L-prolyl-L-phenylalanylglycine,7,tertiary_amine,7(tertiary_amine)
NCC(=O)N1CCC[C@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCC(O)=O,8.64,7,tertiary_amine,Glycyl-L-prolyl-D-phenylalanylglycine,7,tertiary_amine,7(tertiary_amine)
CN(C)c1ccccc1C(O)=O,1.6,1,tertiary_amine,2-(Dimethylamino)benzoic acid,1,tertiary_amine,1(tertiary_amine)
CN(C)c1ccc(cc1)C(O)=O,5.0,1,tertiary_amine,4-(Dimethylamino)benzoic acid,1,tertiary_amine,1(tertiary_amine)
CN(C)c1ccc(cc1)C(O)=O,2.57,1,tertiary_amine,4-(Dimethylamino)benzoic acid,1,tertiary_amine,1(tertiary_amine)
CN(CCO)c1ccccc1C(O)=O,8.24,1,tertiary_amine,2-(N-2-Hydroxyethyl-N-methylamino)benzoic acid,1,tertiary_amine,1(tertiary_amine)
CCN(CCO)c1ccccc1C(O)=O,8.99,2,tertiary_amine,2-(N-2-Hydroxyethyl-N-ethylamino)benzoic acid,2,tertiary_amine,2(tertiary_amine)
OC(=O)CN(CC(O)=O)c1cc(ccc1C(O)=O)C(O)=O,7.54,7,tertiary_amine,"N-(2,5-Dicarboxyphenyl)iminodiacetic acid",7,tertiary_amine,7(tertiary_amine)
OC(=O)c1ccccn1,5.21,8,pyridine_nitrogen,Pyridine-2-carboxylic acid (Picolinic acid),8,pyridine_nitrogen,8(pyridine_nitrogen)
OC(=O)c1ccccn1,5.18,8,pyridine_nitrogen,Pyridine-2-carboxylic acid (Picolinic acid),8,pyridine_nitrogen,8(pyridine_nitrogen)
OC(=O)c1ccccn1,5.29,8,pyridine_nitrogen,Pyridine-2-carboxylic acid (Picolinic acid),8,pyridine_nitrogen,8(pyridine_nitrogen)
OC(=O)c1ccccn1,5.36,8,pyridine_nitrogen,Pyridine-2-carboxylic acid (Picolinic acid),8,pyridine_nitrogen,8(pyridine_nitrogen)
OC(=O)c1ccccn1,5.8,8,pyridine_nitrogen,Pyridine-2-carboxylic acid (Picolinic acid),8,pyridine_nitrogen,8(pyridine_nitrogen)
OC(=O)c1ccccn1,5.93,8,pyridine_nitrogen,Pyridine-2-carboxylic acid (Picolinic acid),8,pyridine_nitrogen,8(pyridine_nitrogen)
OC(=O)c1ccccn1,5.39,8,pyridine_nitrogen,Pyridine-2-carboxylic acid (Picolinic acid),8,pyridine_nitrogen,8(pyridine_nitrogen)
OC(=O)c1ccccn1,0.95,8,pyridine_nitrogen,Pyridine-2-carboxylic acid (Picolinic acid),8,pyridine_nitrogen,8(pyridine_nitrogen)
OC(=O)c1ccccn1,0.86,8,pyridine_nitrogen,Pyridine-2-carboxylic acid (Picolinic acid),8,pyridine_nitrogen,8(pyridine_nitrogen)
