Metal ion,Ligand,Formula,Ligand class,Equilibrium,Temperature (C),Ionic strength,Value type,Value,Note,SMILES,max_eq_num,AcidCount,AmineCount,PhenolCount,PyridineCount,MonoPhosphateCount,ImidazoleNHCount,CyclicAmineCount,Ligand_class_id,molecular_weight,HBD,HBA,logP,TPSA
H⁺,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),C3H8N1O6P1,Amino Acids,[HL]/[L][H],25,0.1,Log K,9.8,K⁺ salt used as background electrolyte.,N[C@@H](CO[P](O)(O)=O)C(O)=O,4,1,1,0,0,2,0,0,0,185.072,4,4,-1.4924,130.08
H⁺,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),C3H8N1O6P1,Amino Acids,[HL]/[L][H],37,0.15,Log K,9.66,K⁺ salt used as background electrolyte.,N[C@@H](CO[P](O)(O)=O)C(O)=O,4,1,1,0,0,2,0,0,0,185.072,4,4,-1.4924,130.08
H⁺,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),C3H8N1O6P1,Amino Acids,[HL]/[L][H],37,0.15,Log K,9.71,Tetraalkyl ammonium salt used as background electrolyte.,N[C@@H](CO[P](O)(O)=O)C(O)=O,4,1,1,0,0,2,0,0,0,185.072,4,4,-1.4924,130.08
H⁺,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),C3H8N1O6P1,Amino Acids,[HL]/[L][H],25,1.0,Log K,9.59,K⁺ salt used as background electrolyte.,N[C@@H](CO[P](O)(O)=O)C(O)=O,4,1,1,0,0,2,0,0,0,185.072,4,4,-1.4924,130.08
H⁺,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),C3H8N1O6P1,Amino Acids,[H₂L]/[HL][H],25,0.1,Log K,5.7,K⁺ salt used as background electrolyte.,N[C@@H](CO[P](O)(O)=O)C(O)=O,4,1,1,0,0,2,0,0,0,185.072,4,4,-1.4924,130.08
H⁺,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),C3H8N1O6P1,Amino Acids,[H₂L]/[HL][H],37,0.15,Log K,5.77,K⁺ salt used as background electrolyte.,N[C@@H](CO[P](O)(O)=O)C(O)=O,4,1,1,0,0,2,0,0,0,185.072,4,4,-1.4924,130.08
H⁺,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),C3H8N1O6P1,Amino Acids,[H₂L]/[HL][H],37,0.15,Log K,5.89,Tetraalkyl ammonium salt used as background electrolyte.,N[C@@H](CO[P](O)(O)=O)C(O)=O,4,1,1,0,0,2,0,0,0,185.072,4,4,-1.4924,130.08
H⁺,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),C3H8N1O6P1,Amino Acids,[H₂L]/[HL][H],25,0.5,Log K,5.54,K⁺ salt used as background electrolyte.,N[C@@H](CO[P](O)(O)=O)C(O)=O,4,1,1,0,0,2,0,0,0,185.072,4,4,-1.4924,130.08
H⁺,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),C3H8N1O6P1,Amino Acids,[H₂L]/[HL][H],25,1.0,Log K,5.5,K⁺ salt used as background electrolyte.,N[C@@H](CO[P](O)(O)=O)C(O)=O,4,1,1,0,0,2,0,0,0,185.072,4,4,-1.4924,130.08
H⁺,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),C3H8N1O6P1,Amino Acids,[H₂L]/[HL][H],25,2.0,Log K,5.53,KCl used as background electrolyte.,N[C@@H](CO[P](O)(O)=O)C(O)=O,4,1,1,0,0,2,0,0,0,185.072,4,4,-1.4924,130.08
