Metal ion,Ligand,Formula,Ligand class,Equilibrium,Temperature (C),Ionic strength,Value type,Value,Note,SMILES,max_eq_num,AcidCount,AmineCount,PhenolCount,PyridineCount,MonoPhosphateCount,ImidazoleNHCount,CyclicAmineCount,Ligand_class_id,molecular_weight,HBD,HBA,logP,TPSA
H⁺,L-2-Aminobutanedioic acid 4-methyl ester (4-Methyl aspartate),C5H9N1O4,Amino Acids,[HL]/[L][H],25,0.1,Log K,8.5,,COC(=O)C[C@H](N)C([O-])=O,1,0,1,0,0,0,0,0,0,146.122,1,5,-2.3733,92.45
H⁺,N-(2-Phenoxyethyl)iminodiacetic acid,C12H15N1O5,NTA and derivatives,[HL]/[L][H],30,0.1,Log K,8.38,K⁺ salt used as background electrolyte.,OC(=O)CN(CCOc1ccccc1)CC(O)=O,1,2,0,0,0,0,0,0,1,253.254,2,4,0.5366,87.07
H⁺,Glycylglycyl-L-leucine,C10H19N3O4,tripeptides,[HL]/[L][H],25,0.1,Log K,7.9,,CC(C)C[C@H](NC(=O)CNC(=O)CN)C(O)=O,1,1,1,0,0,0,0,0,4,245.279,4,4,-1.3232,121.52
H⁺,Glycyl-L-leucylglycine,C10H19N3O4,tripeptides,[HL]/[L][H],25,0.1,Log K,7.95,,CC(C)C[C@H](NC(=O)CN)C(=O)NCC(O)=O,1,1,1,0,0,0,0,0,4,245.279,4,4,-1.3232,121.52
H⁺,Glycylsarcosylglycine,C7H13N3O4,tripeptides,[HL]/[L][H],25,0.1,Log K,8.23,,CN(CC(=O)NCC(O)=O)C(=O)CN,1,1,1,0,0,0,0,0,4,203.198,3,4,-2.3957,112.73
H⁺,L-5-Glutamyl-(S-methyl-L-cysteinyl)glycine (S-methylglutathione),C11H19N3O6S1,tripeptides,[HL]/[L][H],25,0.1,Log K,9.08,,CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,1,2,1,0,0,0,0,0,4,321.355,5,6,-1.7729,158.82
H⁺,Glycyl-L-prolylglycyl-L-phenylalanine,C18H24N4O5,polypeptides,[HL]/[L][H],25,0.1,Log K,8.33,,NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(O)=O,1,1,1,0,0,0,0,0,5,376.413,4,5,-1.1356,141.83
H⁺,Glycyl-L-prolyl-L-phenylalanylglycine,C18H24N4O5,polypeptides,[HL]/[L][H],25,0.1,Log K,8.29,,NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(O)=O,1,1,1,0,0,0,0,0,5,376.413,4,5,-1.1356,141.83
H⁺,Glycyl-L-prolyl-D-phenylalanylglycine,C18H24N4O5,polypeptides,[HL]/[L][H],25,0.1,Log K,8.64,,NCC(=O)N1CCC[C@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCC(O)=O,1,1,1,0,0,0,0,0,5,376.413,4,5,-1.1356,141.83
H⁺,2-(N-2-Hydroxyethyl-N-methylamino)benzoic acid,C10H13N1O3,Aniline carboxylic acids,[HL]/[L][H],22,0.1,Log K,8.24,,CN(CCO)c1ccccc1C(O)=O,1,1,0,0,0,0,0,0,6,195.218,2,3,0.8133,60.77
H⁺,2-(N-2-Hydroxyethyl-N-ethylamino)benzoic acid,C11H15N1O3,Aniline carboxylic acids,[HL]/[L][H],22,0.1,Log K,8.99,,CCN(CCO)c1ccccc1C(O)=O,1,1,0,0,0,0,0,0,6,209.245,2,3,1.2034,60.77
H⁺,"N-(2,5-Dicarboxyphenyl)iminodiacetic acid",C12H11N1O8,Aniline carboxylic acids,[HL]/[L][H],25,0.1,Log K,7.54,K⁺ salt used as background electrolyte.,OC(=O)CN(CC(O)=O)c1cc(ccc1C(O)=O)C(O)=O,1,4,0,0,0,0,0,0,6,297.219,4,5,0.0586,152.44
H⁺,Pyridine-2-carboxylic acid N-oxide,C6H5N1O3,Pyridine carboxylic acids,[HL]/[L][H],25,2.0,Log K,3.31,NaClO₄ used as background electrolyte.,OC(=O)c1cccc[n+]1[O-],1,1,0,0,1,0,0,0,7,139.11,1,2,0.0182,64.24
H⁺,"1-Ethyl-1,4-dihydro-7-methyl-4-oxo-1,8-naphthyridine-3-carboxylic acid (Nalidixic acid)",C12H12N2O3,Pyridine carboxylic acids,[HL]/[L][H],37,0.15,Log K,5.94,,CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12,1,1,0,0,2,0,0,0,7,232.239,1,4,1.423,72.19
H⁺,Methylamine,C1H5N1,Aliphatic amines,[HL]/[L][H],25,0.1,Log K,10.65,,CN,1,0,1,0,0,0,0,0,8,31.058,1,1,-0.4251,26.02
H⁺,Methylamine,C1H5N1,Aliphatic amines,[HL]/[L][H],25,0.5,Log K,10.72,,CN,1,0,1,0,0,0,0,0,8,31.058,1,1,-0.4251,26.02
H⁺,Methylamine,C1H5N1,Aliphatic amines,[HL]/[L][H],25,1.0,Log K,10.84,,CN,1,0,1,0,0,0,0,0,8,31.058,1,1,-0.4251,26.02
H⁺,Methylamine,C1H5N1,Aliphatic amines,[HL]/[L][H],25,2.0,Log K,10.8,Ligand NO₃ used as background electrolyte.,CN,1,0,1,0,0,0,0,0,8,31.058,1,1,-0.4251,26.02
H⁺,Methylamine,C1H5N1,Aliphatic amines,[HL]/[L][H],10,0.0,Log K,11.136,Value adjusted for compatibility with other values.,CN,1,0,1,0,0,0,0,0,8,31.058,1,1,-0.4251,26.02
H⁺,Methylamine,C1H5N1,Aliphatic amines,[HL]/[L][H],25,0.0,Log K,10.632,,CN,1,0,1,0,0,0,0,0,8,31.058,1,1,-0.4251,26.02
H⁺,Methylamine,C1H5N1,Aliphatic amines,[HL]/[L][H],40,0.0,Log K,10.166,Value adjusted for compatibility with other values.,CN,1,0,1,0,0,0,0,0,8,31.058,1,1,-0.4251,26.02
H⁺,Ethylamine,C2H7N1,Aliphatic amines,[HL]/[L][H],25,0.1,Log K,10.69,,CCN,1,0,1,0,0,0,0,0,8,45.085,1,1,-0.035,26.02
H⁺,Ethylamine,C2H7N1,Aliphatic amines,[HL]/[L][H],25,0.5,Log K,10.72,,CCN,1,0,1,0,0,0,0,0,8,45.085,1,1,-0.035,26.02
H⁺,Ethylamine,C2H7N1,Aliphatic amines,[HL]/[L][H],25,1.0,Log K,10.83,,CCN,1,0,1,0,0,0,0,0,8,45.085,1,1,-0.035,26.02
